date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:58	1022/1022	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f804b9-3fe-61ba0017dc180-br%22	https://template.codexshaper.com/admin/dashkit/assets/images/logo/logo-icon.svg	D:/fyp_template/template.codexshaper.com/admin/dashkit/assets/images/logo/logo-icon.svg	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:30:58	254025/254025	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2009:42:52%20GMT	https://template.codexshaper.com/admin/dashkit/dashboard-lms.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/dashboard-lms.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:30:59	253417/253417	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2009:42:52%20GMT	https://template.codexshaper.com/admin/dashkit/dashboard-analytic.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/dashboard-analytic.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:30:59	280186/280186	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2009:42:52%20GMT	https://template.codexshaper.com/admin/dashkit/dashboard-online-course.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/dashboard-online-course.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:30:59	312281/312281	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2011:52:14%20GMT	https://template.codexshaper.com/admin/dashkit/dashboard-ecommerce.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/dashboard-ecommerce.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:30:59	266375/266375	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2009:42:52%20GMT	https://template.codexshaper.com/admin/dashkit/dashboard-project-manager.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/dashboard-project-manager.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:31:00	268070/268070	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2013:06:40%20GMT	https://template.codexshaper.com/admin/dashkit/dashboard-logistic.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/dashboard-logistic.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:31:00	264816/264816	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2013:06:20%20GMT	https://template.codexshaper.com/admin/dashkit/dashboard-delivery.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/dashboard-delivery.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:31:00	234181/234181	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2009:42:52%20GMT	https://template.codexshaper.com/admin/dashkit/app-list.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/app-list.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:31:01	233444/233444	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2009:42:52%20GMT	https://template.codexshaper.com/admin/dashkit/app-grid.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/app-grid.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:31:01	231446/231446	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2009:42:52%20GMT	https://template.codexshaper.com/admin/dashkit/pricing.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/pricing.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:31:01	1869/1869	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2003:46:46%20GMT	https://template.codexshaper.com/admin/dashkit/maintenance.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/maintenance.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:31:01	227655/227655	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2009:42:52%20GMT	https://template.codexshaper.com/admin/dashkit/faq.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/faq.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:31:02	1933/1933	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2003:46:46%20GMT	https://template.codexshaper.com/admin/dashkit/not-found.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/not-found.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
15:31:02	2149/2149	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2003:49:14%20GMT	https://template.codexshaper.com/admin/dashkit/success-confirmation.html	D:/fyp_template/template.codexshaper.com/admin/dashkit/success-confirmation.html	(from https://template.codexshaper.com/admin/dashkit/dashboard-lms-dark.html)
